KIF1B
TERF1
PTPN2
PLEKHA3
MAT2B
CDC73
PHC3
BMI1
NEDD4
DCUN1D4
ATP2B1
UBXN2A
ATG3
LARP7
KPNA3
ABCE1
KIF5B
SEH1L
USP16
CPSF3
CDC23
STIM2
TRAM2
CEP83
IFRD1
RBM28
SMURF2
WARS2
EMG1
FBXO21
ADSS
BLOC1S6
UBE2J1
TTC27
TGFBR1
ELP6
CLOCK
G3BP1
NBN
CPSF2
DNM1L
SKIV2L2
MNAT1
NADK2
RANBP9
OSBPL10
MSH3
DENR
SMARCB1
NUBP1
CHKA
DIS3L
CABLES1
ZFYVE9
TSEN2
STXBP3
FAM208A
INTS6
FTSJ3
MAGEF1
KRIT1
WDR44
SRSF6
KIF3A
KDM2B
BRPF3
RFWD2
STX17
PREB
MED20
VPS54
STAM2
TRIP4
MFN1
RASA1
RABIF
PTPN4
NSD1
OTUD6B-AS1
UBR2
SOS2
NGLY1
CTBP1-AS2
MEF2A
PSMD5-AS1
MYO9A
PIAS2
KLHL12
MTRF1
AP4M1
MAGI3
ARHGAP5
CASD1
SVIL
EIF2AK4
RALGAPA1
TJP1
KLHDC2
TARS2
AARS2
SHPRH
OFD1
SEC23IP
PRPSAP2
UTP18
PRMT6
PSMD5
RPL7L1
COMMD2
MYO10
ATP1B1
RBM41
IL4R
CCDC58
CCDC43
LYRM2
DTWD1
SH2D4A
SLC30A6
PPFIA1
PCNX4
WDR36
UTP20
MTIF2
PWP1
MRPS22
GPKOW
MRPS18A
TBC1D23
RAD50
TRAPPC6B
CRLS1
PQBP1
TRIM56
MUS81
TINF2
RGS19
MOSPD2
ERICH1
SLC45A4
RPUSD3
ZMYM3
TRIM44
EXD2
MKS1
STX7
DTWD2
WASHC4
ARFGAP3
SNX21
SH3D19
MPDZ
TANGO6
USP25
EIF2AK2
AKNA
WNT7B
TAF1B
TAF8
CASP6
REPS1
MED4
TMEM185B
INTS13
EXTL3
METTL5
MTX2
PHF6
C5orf24
RNFT1
CHORDC1
AFAP1
FAM107B
RRAS2
MAP9
GLRX2
PLRG1
EFL1
JOSD1
SLC10A3
ABCD3
UBA3
ATP11C
DOCK9
ENOX2
HACL1
NAGK
PTPN13
HEATR5A
RAB27B
INTS3
FAM175A
TBCK
PHTF1
INTS8
ANKRD13A
TTC21B
C2CD5
SLC12A2
DCPS
SRBD1
PDLIM5
ATE1
PAWR
PARN
TAPT1
CHML
NFIB
PLEKHA5
NEDD4L
FOXN3
EHBP1
COL4A3BP
ACSL3
FERMT2
RRP15
L3MBTL2
WWTR1
ALKBH3
PELI3
RALGPS2
SLC12A6
ICK
RDH10
ZNF37BP
CUTC
ATXN3
RNF220
PPM1B
BTBD3
PLK2
KATNBL1
SGMS1
RBMS1
KLHL42
DTNBP1
DAAM1
PHLPP1
JAK2
IRF2BP2
SHROOM3
MYLIP
JMY
HBP1
BRD3
SASH1
RB1CC1
IRF1
PNPLA8
ARID5B
CITED2
LGR4
GPRC5A
PHACTR4
H1F0
AMIGO2
FIZ1
C15orf61
KAZN
STK38L
PLPP3
GAB1
SLC41A2
IBA57
BMP2K
EXT1
TGIF2
CDC14A
ZNF514
SLC22A23
ADCK2
PKNOX1
KIAA1958
MEGF9
HEG1
DAB2IP
FBXO8
IPMK
TULP3
APAF1
KLHL22
CBLB
PHF21A
RNF24
AGFG2
GLCCI1
GEMIN5
CD3EAP
ZFP1
MESDC1
DUS4L
PCIF1
CEBPG
AVPI1
NCEH1
NET1
NHSL1
MTMR6
PITPNC1
PIGV
DHRS4-AS1
KLF13
TRMT61B
ARNTL
FRA10AC1
TNFAIP8
MPP3
HSF2
RIC1
USP10
ZBTB21
CGRRF1
NEU3
TTC39B
PHF11
